Label.Number,Label.Name
4,"3rd Ventricle"
11,"4th Ventricle"
35,"Brain Stem"
46,"CSF"
69,"Optic Chiasm"
71,"Cerebellar Vermal Lobules I-V"
72,"Cerebellar Vermal Lobules VI-VII"
73,"Cerebellar Vermal Lobules VIII-X"
23,"Accumbens Area"
31,"Amygdala"
36,"Caudate"
38,"Cerebellum Exterior"
40,"Cerebellum White Matter"
44,"Cerebral White Matter"
47,"Hippocampus"
49,"Inf Lat Vent"
51,"Lateral Ventricle"
55,"Pallidum"
57,"Putamen"
59,"Thalamus Proper"
61,"Ventral DC"
76,"Basal Forebrain"
100,"ACgG"
102,"AIns"
104,"AOrG"
106,"AnG"
108,"Calc"
112,"CO"
114,"Cun"
116,"Ent"
118,"FO"
120,"FRP"
122,"FuG"
124,"GRe"
128,"IOG"
132,"ITG"
134,"LiG"
136,"LOrG"
138,"MCgG"
140,"MFC"
142,"MFG"
144,"MOG"
146,"MOrG"
148,"MPoG"
150,"MPrG"
152,"MSFG"
154,"MTG"
156,"OCP"
160,"OFuG"
162,"OpIFG"
164,"OrIFG"
166,"PCgG"
168,"PCu"
170,"PHG"
172,"PIns"
174,"PO"
176,"PoG"
178,"POrG"
180,"PP"
182,"PrG"
184,"PT"
186,"SCA"
190,"SFG"
192,"SMC"
194,"SMG"
196,"SOG"
198,"SPL"
200,"STG"
202,"TMP"
204,"TrIFG"
206,"TTG"
